episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/learner_stats/loss,info/learner/default_policy/learner_stats/grad_norm,info/learner/default_policy/learner_stats/td_error_abs,info/learner/default_policy/learner_stats/q_taken_mean,info/learner/default_policy/learner_stats/target_mean
-743.9204665554587,-801.2915232398932,-767.8561182096084,960.0,5,5,4800,0,4800,False,5,1,8aa4f_00000,373052bc1ad146269c2c0e7a71b4e880,2023-12-20_08-43-33,1703040213,10.62749981880188,10.62749981880188,86071,HPC005,10.33.1.26,10.62749981880188,0,1,"[-801.2915232398932, -758.3033898190785, -743.9204665554587, -767.1117406069369, -768.653470826675]","[960, 960, 960, 960, 960]",0.19615314257380614,1.0062544700630496,0.10842299486174171,0.579875118402487,0.0,1352.0,1.479,6.661,4800,4800,2,9600,0,36.54666666666666,50.673333333333325,0.02266666666666667,0.020713975694444445,0.997514545917511,1.9794559478759766,0.896804443359375,-0.0009194526672363281,-0.026708831787109377
-675.4785807830563,-801.2915232398932,-736.31466172568,960.0,5,5,9600,0,9600,False,10,2,8aa4f_00000,373052bc1ad146269c2c0e7a71b4e880,2023-12-20_08-43-44,1703040224,10.70906138420105,21.33656120300293,86071,HPC005,10.33.1.26,21.33656120300293,0,2,"[-801.2915232398932, -758.3033898190785, -743.9204665554587, -767.1117406069369, -768.653470826675, -675.4785807830563, -706.3299156450141, -688.0684442012531, -732.7487828487814, -721.2403027306541]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.1960512546801362,1.0079770372939814,0.1087736699308696,0.5816313717448037,0.0,1332.622,1.501,6.75,9600,9600,4,19200,9600,36.65,53.25000000000001,0.009285714285714286,0.020670572916666664,0.7362871170043945,1.9352524280548096,0.722257080078125,-0.0416327158610026,-0.03117158762613932
-603.196891040269,-801.2915232398932,-708.0589815923419,960.0,5,5,14400,0,14400,False,15,3,8aa4f_00000,373052bc1ad146269c2c0e7a71b4e880,2023-12-20_08-43-55,1703040235,10.822685241699219,32.15924644470215,86071,HPC005,10.33.1.26,32.15924644470215,0,3,"[-801.2915232398932, -758.3033898190785, -743.9204665554587, -767.1117406069369, -768.653470826675, -675.4785807830563, -706.3299156450141, -688.0684442012531, -732.7487828487814, -721.2403027306541, -673.2876906329379, -657.6296054779656, -603.196891040269, -674.5908059473982, -649.033113529759]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.19681471394020952,1.0119948919583084,0.10919257366861533,0.5833690812357413,0.0,1316.776,1.519,6.862,14400,14400,6,28800,9600,38.16,53.45333333333333,0.007333333333333334,0.020757378472222223,3.7342300415039062,15.402580261230469,1.5794239908854166,-0.08710889689127604,1.49133740234375
-524.4977125297215,-801.2915232398932,-666.4202122255418,960.0,5,5,19200,0,19200,False,20,4,8aa4f_00000,373052bc1ad146269c2c0e7a71b4e880,2023-12-20_08-44-05,1703040245,10.668207883834839,42.82745432853699,86071,HPC005,10.33.1.26,42.82745432853699,0,4,"[-801.2915232398932, -758.3033898190785, -743.9204665554587, -767.1117406069369, -768.653470826675, -675.4785807830563, -706.3299156450141, -688.0684442012531, -732.7487828487814, -721.2403027306541, -673.2876906329379, -657.6296054779656, -603.196891040269, -674.5908059473982, -649.033113529759, -542.0680675935793, -549.1100354858862, -524.4977125297215, -529.545040775869, -562.2986642406504]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.1972169537395706,1.0138158017246375,0.10940488344063501,0.5845821832161125,0.0,1308.24,1.529,6.791,19200,19200,8,38400,19200,36.35,53.38571428571428,0.002142857142857143,0.020670572916666664,1.8557605743408203,6.919415473937988,1.2027709147135417,0.39662113444010416,1.4962527669270833
-458.2364536149179,-801.2915232398932,-625.7620781428924,960.0,5,5,24000,0,24000,False,25,5,8aa4f_00000,373052bc1ad146269c2c0e7a71b4e880,2023-12-20_08-44-16,1703040256,10.750738382339478,53.578192710876465,86071,HPC005,10.33.1.26,53.578192710876465,0,5,"[-801.2915232398932, -758.3033898190785, -743.9204665554587, -767.1117406069369, -768.653470826675, -675.4785807830563, -706.3299156450141, -688.0684442012531, -732.7487828487814, -721.2403027306541, -673.2876906329379, -657.6296054779656, -603.196891040269, -674.5908059473982, -649.033113529759, -542.0680675935793, -549.1100354858862, -524.4977125297215, -529.545040775869, -562.2986642406504, -459.9468649009328, -460.44309483405385, -471.4410896836986, -465.5802060278688, -458.2364536149179]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.19755311245507598,1.0149137917418833,0.10951806983821669,0.5855611009552626,0.0,1299.614,1.539,7.025,24000,24000,10,48000,19200,36.01428571428571,53.39999999999999,0.004285714285714286,0.020670572916666664,2.6248700618743896,10.313040733337402,1.168807861328125,1.4765789388020834,2.63722802734375
-404.1971695378108,-801.2915232398932,-591.1794093747909,960.0,5,5,28800,0,28800,False,30,6,8aa4f_00000,373052bc1ad146269c2c0e7a71b4e880,2023-12-20_08-44-27,1703040267,10.758394718170166,64.33658742904663,86071,HPC005,10.33.1.26,64.33658742904663,0,6,"[-801.2915232398932, -758.3033898190785, -743.9204665554587, -767.1117406069369, -768.653470826675, -675.4785807830563, -706.3299156450141, -688.0684442012531, -732.7487828487814, -721.2403027306541, -673.2876906329379, -657.6296054779656, -603.196891040269, -674.5908059473982, -649.033113529759, -542.0680675935793, -549.1100354858862, -524.4977125297215, -529.545040775869, -562.2986642406504, -459.9468649009328, -460.44309483405385, -471.4410896836986, -465.5802060278688, -458.2364536149179, -424.6389967175069, -407.19478886251994, -431.91636323198367, -404.1971695378108, -423.3830093215985]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.19784238909715493,1.015873165861173,0.1096087902690174,0.5865140101688952,0.0,1294.195,1.545,7.032,28800,28800,12,57600,28800,36.607142857142854,53.50714285714286,0.014285714285714287,0.020717075892857144,1.6664443016052246,20.246082305908203,1.1474036458333334,2.9245110677083335,2.6389127604166664
-327.7337851968467,-801.2915232398932,-555.598349942596,960.0,5,5,33600,0,33600,False,35,7,8aa4f_00000,373052bc1ad146269c2c0e7a71b4e880,2023-12-20_08-44-38,1703040278,10.702021837234497,75.03860926628113,86071,HPC005,10.33.1.26,75.03860926628113,0,7,"[-801.2915232398932, -758.3033898190785, -743.9204665554587, -767.1117406069369, -768.653470826675, -675.4785807830563, -706.3299156450141, -688.0684442012531, -732.7487828487814, -721.2403027306541, -673.2876906329379, -657.6296054779656, -603.196891040269, -674.5908059473982, -649.033113529759, -542.0680675935793, -549.1100354858862, -524.4977125297215, -529.545040775869, -562.2986642406504, -459.9468649009328, -460.44309483405385, -471.4410896836986, -465.5802060278688, -458.2364536149179, -424.6389967175069, -407.19478886251994, -431.91636323198367, -404.1971695378108, -423.3830093215985, -342.6325131971464, -327.7337851968467, -349.0154609311277, -340.339223428773, -350.83898399323607]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.19810763305211157,1.0167343237395958,0.1096785278664719,0.5869978428682654,0.0,1292.976,1.547,7.066,33600,33600,14,67200,28800,36.14666666666666,53.65333333333334,0.018,0.020670572916666668,0.9217687249183655,5.776211738586426,0.6831736653645833,1.8891129557291666,2.24270947265625
-255.96025140589796,-801.2915232398932,-520.1100441017641,960.0,5,5,38400,0,38400,False,40,8,8aa4f_00000,373052bc1ad146269c2c0e7a71b4e880,2023-12-20_08-44-49,1703040289,10.827778100967407,85.86638736724854,86071,HPC005,10.33.1.26,85.86638736724854,0,8,"[-801.2915232398932, -758.3033898190785, -743.9204665554587, -767.1117406069369, -768.653470826675, -675.4785807830563, -706.3299156450141, -688.0684442012531, -732.7487828487814, -721.2403027306541, -673.2876906329379, -657.6296054779656, -603.196891040269, -674.5908059473982, -649.033113529759, -542.0680675935793, -549.1100354858862, -524.4977125297215, -529.545040775869, -562.2986642406504, -459.9468649009328, -460.44309483405385, -471.4410896836986, -465.5802060278688, -458.2364536149179, -424.6389967175069, -407.19478886251994, -431.91636323198367, -404.1971695378108, -423.3830093215985, -342.6325131971464, -327.7337851968467, -349.0154609311277, -340.339223428773, -350.83898399323607, -255.96025140589796, -285.06639402022347, -279.56932530171025, -272.2907440205869, -265.5728013312865]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.19838836518081954,1.0176612411045194,0.1097290342784012,0.5874404091717071,0.0,1291.197,1.549,7.056,38400,38400,16,76800,38400,37.16428571428571,53.8142857142857,0.011428571428571429,0.020670572916666664,2.018733501434326,29.213441848754883,1.3249637044270834,3.17649609375,2.2423533528645834
-255.96025140589796,-801.2915232398932,-499.4838331366974,960.0,5,5,43200,0,43200,False,45,9,8aa4f_00000,373052bc1ad146269c2c0e7a71b4e880,2023-12-20_08-44-59,1703040299,10.730649471282959,96.5970368385315,86071,HPC005,10.33.1.26,96.5970368385315,0,9,"[-801.2915232398932, -758.3033898190785, -743.9204665554587, -767.1117406069369, -768.653470826675, -675.4785807830563, -706.3299156450141, -688.0684442012531, -732.7487828487814, -721.2403027306541, -673.2876906329379, -657.6296054779656, -603.196891040269, -674.5908059473982, -649.033113529759, -542.0680675935793, -549.1100354858862, -524.4977125297215, -529.545040775869, -562.2986642406504, -459.9468649009328, -460.44309483405385, -471.4410896836986, -465.5802060278688, -458.2364536149179, -424.6389967175069, -407.19478886251994, -431.91636323198367, -404.1971695378108, -423.3830093215985, -342.6325131971464, -327.7337851968467, -349.0154609311277, -340.339223428773, -350.83898399323607, -255.96025140589796, -285.06639402022347, -279.56932530171025, -272.2907440205869, -265.5728013312865, -337.64299778796106, -336.67644440482223, -324.53296503136403, -333.3644222632202, -340.15389759345004]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.1985871116401825,1.0182443256941431,0.10977464590080836,0.5879682057501997,0.0,1291.153,1.549,7.039,43200,43200,18,86400,38400,36.57142857142857,54.064285714285724,0.005714285714285714,0.020670572916666664,0.5991603136062622,5.5102949142456055,0.515534423828125,1.8583505859375,2.0004270833333333
-255.96025140589796,-801.2915232398932,-477.90616498810124,960.0,5,5,48000,0,48000,False,50,10,8aa4f_00000,373052bc1ad146269c2c0e7a71b4e880,2023-12-20_08-45-10,1703040310,10.842002153396606,107.4390389919281,86071,HPC005,10.33.1.26,107.4390389919281,0,10,"[-801.2915232398932, -758.3033898190785, -743.9204665554587, -767.1117406069369, -768.653470826675, -675.4785807830563, -706.3299156450141, -688.0684442012531, -732.7487828487814, -721.2403027306541, -673.2876906329379, -657.6296054779656, -603.196891040269, -674.5908059473982, -649.033113529759, -542.0680675935793, -549.1100354858862, -524.4977125297215, -529.545040775869, -562.2986642406504, -459.9468649009328, -460.44309483405385, -471.4410896836986, -465.5802060278688, -458.2364536149179, -424.6389967175069, -407.19478886251994, -431.91636323198367, -404.1971695378108, -423.3830093215985, -342.6325131971464, -327.7337851968467, -349.0154609311277, -340.339223428773, -350.83898399323607, -255.96025140589796, -285.06639402022347, -279.56932530171025, -272.2907440205869, -265.5728013312865, -337.64299778796106, -336.67644440482223, -324.53296503136403, -333.3644222632202, -340.15389759345004, -283.80171556519684, -284.719778927086, -282.7647620499787, -291.8024812071889, -275.44702050422956]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.19878358778216262,1.018838948212781,0.10983012534622533,0.5885259896763307,0.0,1287.941,1.553,7.019,48000,48000,20,96000,48000,37.28571428571428,54.27142857142858,0.017142857142857144,0.020717075892857144,1.3708655834197998,21.51072120666504,1.0461551106770834,2.9477096354166665,1.9992732747395834
