episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/learner_stats/loss,info/learner/default_policy/learner_stats/grad_norm,info/learner/default_policy/learner_stats/td_error_abs,info/learner/default_policy/learner_stats/q_taken_mean,info/learner/default_policy/learner_stats/target_mean
-744.353534669384,-787.993950351343,-763.0019328634437,960.0,5,5,4800,0,4800,False,5,1,bff06_00000,b647735c433046cd80cdc4b50215919e,2024-02-21_12-45-18,1708497918,11.180233001708984,11.180233001708984,5081,HPC005,10.33.1.26,11.180233001708984,0,1,"[-787.993950351343, -751.3250403010476, -744.353534669384, -766.1576648884637, -765.1794741069803]","[960, 960, 960, 960, 960]",0.18710320995699975,1.0059903985379761,0.11401300499764241,0.5823922330953575,0.0,1920.671,1.041,7.347,4800,4800,2,9600,0,33.46875,18.825,0.105625,0.049641927083333336,1.0009552240371704,1.979029655456543,0.9026022135416667,-0.0009190607070922852,0.005946390151977539
-671.1910955969875,-787.993950351343,-732.3026604204726,960.0,5,5,9600,0,9600,False,10,2,bff06_00000,b647735c433046cd80cdc4b50215919e,2024-02-21_12-45-29,1708497929,11.20649266242981,22.386725664138794,5081,HPC005,10.33.1.26,22.386725664138794,0,2,"[-787.993950351343, -751.3250403010476, -744.353534669384, -766.1576648884637, -765.1794741069803, -671.1910955969875, -699.1377799310197, -686.0500278603828, -733.1627639649254, -718.4752725341936]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.18687917392233178,1.0039513071676425,0.11412430869466164,0.5831833539765653,0.0,1909.7,1.047,8.553,9600,9600,4,19200,0,33.58666666666666,21.106666666666662,0.07800000000000003,0.04964192708333334,0.7494041323661804,1.8984262943267822,0.7458822428385417,-0.05465895589192708,-0.0007084275881449381
-612.2068395856955,-787.993950351343,-704.9855516629777,960.0,5,5,14400,0,14400,False,15,3,bff06_00000,b647735c433046cd80cdc4b50215919e,2024-02-21_12-45-41,1708497941,11.591606616973877,33.97833228111267,5081,HPC005,10.33.1.26,33.97833228111267,0,3,"[-787.993950351343, -751.3250403010476, -744.353534669384, -766.1576648884637, -765.1794741069803, -671.1910955969875, -699.1377799310197, -686.0500278603828, -733.1627639649254, -718.4752725341936, -651.2572059335848, -666.123330932866, -612.2068395856955, -679.3285726817226, -642.840721606072]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.18717609345934721,1.0063090942499253,0.1145584451191233,0.5850133902664503,0.0,1970.116,1.015,8.633,14400,14400,6,28800,0,35.97333333333333,21.45333333333333,0.06933333333333333,0.04932183159722222,1.2960633039474487,7.7492194175720215,0.922171875,-0.313897705078125,-0.0007084271113077799
-530.4078888019366,-787.993950351343,-664.2914061639859,960.0,5,5,19200,0,19200,False,20,4,bff06_00000,b647735c433046cd80cdc4b50215919e,2024-02-21_12-45-53,1708497953,12.103800773620605,46.082133054733276,5081,HPC005,10.33.1.26,46.082133054733276,0,4,"[-787.993950351343, -751.3250403010476, -744.353534669384, -766.1576648884637, -765.1794741069803, -671.1910955969875, -699.1377799310197, -686.0500278603828, -733.1627639649254, -718.4752725341936, -651.2572059335848, -666.123330932866, -612.2068395856955, -679.3285726817226, -642.840721606072, -554.3834372687741, -533.811490620219, -530.4078888019366, -538.9327400412633, -553.509291602857]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.1881579007732938,1.0125300221523308,0.11529008475963695,0.5879417691808517,0.0,1993.685,1.003,8.364,19200,19200,8,38400,0,41.67647058823529,21.988235294117647,0.06411764705882353,0.051662071078431376,0.7634342312812805,1.943016767501831,0.7069044596354167,0.04528165690104167,-0.0010241962273915609
-449.9873223452684,-787.993950351343,-623.2547367772067,960.0,5,5,24000,0,24000,False,25,5,bff06_00000,b647735c433046cd80cdc4b50215919e,2024-02-21_12-46-05,1708497965,11.288487195968628,57.370620250701904,5081,HPC005,10.33.1.26,57.370620250701904,0,5,"[-787.993950351343, -751.3250403010476, -744.353534669384, -766.1576648884637, -765.1794741069803, -671.1910955969875, -699.1377799310197, -686.0500278603828, -733.1627639649254, -718.4752725341936, -651.2572059335848, -666.123330932866, -612.2068395856955, -679.3285726817226, -642.840721606072, -554.3834372687741, -533.811490620219, -530.4078888019366, -538.9327400412633, -553.509291602857, -459.59278585412227, -449.9873223452684, -478.2323087430765, -452.6164597015918, -455.11141950639274]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.18864463338520143,1.0157711350248242,0.11565542140693533,0.5897088846349842,0.0,1957.204,1.022,8.048,24000,24000,10,48000,0,34.10666666666667,22.246666666666663,0.04600000000000001,0.0515353732638889,0.6311748027801514,0.9514707922935486,0.5596099446614583,0.07046306864420573,-0.0007072367668151855
-407.37249617139355,-787.993950351343,-588.9082926119867,960.0,5,5,28800,0,28800,False,30,6,bff06_00000,b647735c433046cd80cdc4b50215919e,2024-02-21_12-46-16,1708497976,11.065054178237915,68.43567442893982,5081,HPC005,10.33.1.26,68.43567442893982,0,6,"[-787.993950351343, -751.3250403010476, -744.353534669384, -766.1576648884637, -765.1794741069803, -671.1910955969875, -699.1377799310197, -686.0500278603828, -733.1627639649254, -718.4752725341936, -651.2572059335848, -666.123330932866, -612.2068395856955, -679.3285726817226, -642.840721606072, -554.3834372687741, -533.811490620219, -530.4078888019366, -538.9327400412633, -553.509291602857, -459.59278585412227, -449.9873223452684, -478.2323087430765, -452.6164597015918, -455.11141950639274, -420.9677316074384, -408.364975318851, -426.98355459211916, -407.37249617139355, -422.19160123963144]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.18875705161774445,1.0174161352299393,0.11582769642183867,0.5905506663779464,0.0,1929.786,1.036,7.869,28800,28800,12,57600,0,32.52857142857143,22.357142857142858,0.05642857142857143,0.05037434895833335,0.6523629426956177,1.2594640254974365,0.56156884765625,0.11453793334960938,-0.00091643492380778
-328.10799599995465,-787.993950351343,-552.4141679299337,960.0,5,5,33600,0,33600,False,35,7,bff06_00000,b647735c433046cd80cdc4b50215919e,2024-02-21_12-46-27,1708497987,11.019504070281982,79.4551784992218,5081,HPC005,10.33.1.26,79.4551784992218,0,7,"[-787.993950351343, -751.3250403010476, -744.353534669384, -766.1576648884637, -765.1794741069803, -671.1910955969875, -699.1377799310197, -686.0500278603828, -733.1627639649254, -718.4752725341936, -651.2572059335848, -666.123330932866, -612.2068395856955, -679.3285726817226, -642.840721606072, -554.3834372687741, -533.811490620219, -530.4078888019366, -538.9327400412633, -553.509291602857, -459.59278585412227, -449.9873223452684, -478.2323087430765, -452.6164597015918, -455.11141950639274, -420.9677316074384, -408.364975318851, -426.98355459211916, -407.37249617139355, -422.19160123963144, -328.54009708348076, -337.36374839320297, -339.0336701588127, -334.2015875526245, -328.10799599995465]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.18877452365508554,1.0181617696416145,0.11590484776720142,0.590886293076454,0.0,1907.37,1.049,7.722,33600,33600,14,67200,0,32.46,22.419999999999998,0.059333333333333356,0.05037434895833335,0.7148533463478088,1.435171365737915,0.5359580891927084,0.15052687581380209,-0.006033910115559896
-328.10799599995465,-787.993950351343,-531.4154458244182,960.0,5,5,38400,0,38400,False,40,8,bff06_00000,b647735c433046cd80cdc4b50215919e,2024-02-21_12-46-38,1708497998,11.20901870727539,90.66419720649719,5081,HPC005,10.33.1.26,90.66419720649719,0,8,"[-787.993950351343, -751.3250403010476, -744.353534669384, -766.1576648884637, -765.1794741069803, -671.1910955969875, -699.1377799310197, -686.0500278603828, -733.1627639649254, -718.4752725341936, -651.2572059335848, -666.123330932866, -612.2068395856955, -679.3285726817226, -642.840721606072, -554.3834372687741, -533.811490620219, -530.4078888019366, -538.9327400412633, -553.509291602857, -459.59278585412227, -449.9873223452684, -478.2323087430765, -452.6164597015918, -455.11141950639274, -420.9677316074384, -408.364975318851, -426.98355459211916, -407.37249617139355, -422.19160123963144, -328.54009708348076, -337.36374839320297, -339.0336701588127, -334.2015875526245, -328.10799599995465, -379.26732606895666, -379.5355200224764, -381.63760555471134, -378.38415368607343, -403.2973500968323]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.18887664144907507,1.0184217721100173,0.11592883155677454,0.5910973865619649,0.0,1892.086,1.057,7.636,38400,38400,16,76800,0,32.46666666666667,22.499999999999996,0.06600000000000003,0.05037434895833335,0.6753629446029663,1.0247856378555298,0.5146302897135416,-0.01704812749226888,-0.00056851327419281
-241.03830915205972,-787.993950351343,-499.6321792278242,960.0,5,5,43200,0,43200,False,45,9,bff06_00000,b647735c433046cd80cdc4b50215919e,2024-02-21_12-46-49,1708498009,11.125839471817017,101.79003667831421,5081,HPC005,10.33.1.26,101.79003667831421,0,9,"[-787.993950351343, -751.3250403010476, -744.353534669384, -766.1576648884637, -765.1794741069803, -671.1910955969875, -699.1377799310197, -686.0500278603828, -733.1627639649254, -718.4752725341936, -651.2572059335848, -666.123330932866, -612.2068395856955, -679.3285726817226, -642.840721606072, -554.3834372687741, -533.811490620219, -530.4078888019366, -538.9327400412633, -553.509291602857, -459.59278585412227, -449.9873223452684, -478.2323087430765, -452.6164597015918, -455.11141950639274, -420.9677316074384, -408.364975318851, -426.98355459211916, -407.37249617139355, -422.19160123963144, -328.54009708348076, -337.36374839320297, -339.0336701588127, -334.2015875526245, -328.10799599995465, -379.26732606895666, -379.5355200224764, -381.63760555471134, -378.38415368607343, -403.2973500968323, -244.7563322451391, -241.03830915205972, -242.1513015788883, -245.37396335697593, -253.51032594230213]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.1889159670662131,1.0184984668131916,0.11593739467479185,0.5911367944380032,0.0,1886.212,1.06,7.602,43200,43200,18,86400,0,32.84,22.82,0.05466666666666668,0.05037434895833335,0.6515077948570251,1.792520523071289,0.4594390462239583,0.20769077555338541,-0.00603344980875651
-231.3812377549112,-787.993950351343,-473.251860093013,960.0,5,5,48000,0,48000,False,50,10,bff06_00000,b647735c433046cd80cdc4b50215919e,2024-02-21_12-47-00,1708498020,11.121787309646606,112.91182398796082,5081,HPC005,10.33.1.26,112.91182398796082,0,10,"[-787.993950351343, -751.3250403010476, -744.353534669384, -766.1576648884637, -765.1794741069803, -671.1910955969875, -699.1377799310197, -686.0500278603828, -733.1627639649254, -718.4752725341936, -651.2572059335848, -666.123330932866, -612.2068395856955, -679.3285726817226, -642.840721606072, -554.3834372687741, -533.811490620219, -530.4078888019366, -538.9327400412633, -553.509291602857, -459.59278585412227, -449.9873223452684, -478.2323087430765, -452.6164597015918, -455.11141950639274, -420.9677316074384, -408.364975318851, -426.98355459211916, -407.37249617139355, -422.19160123963144, -328.54009708348076, -337.36374839320297, -339.0336701588127, -334.2015875526245, -328.10799599995465, -379.26732606895666, -379.5355200224764, -381.63760555471134, -378.38415368607343, -403.2973500968323, -244.7563322451391, -241.03830915205972, -242.1513015788883, -245.37396335697593, -253.51032594230213, -237.63817097022906, -231.3812377549112, -235.47866350703683, -235.70287916094557, -238.94398800543527]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.18893246754956267,1.0184425303321523,0.11592957638369822,0.5911324416328528,0.0,1880.412,1.064,7.565,48000,48000,20,96000,0,32.81333333333334,22.966666666666665,0.04400000000000001,0.05037434895833335,0.8061630725860596,1.5372141599655151,0.481489990234375,0.047998392740885416,-0.0007131330172220866
