episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/learner_stats/loss,info/learner/default_policy/learner_stats/grad_norm,info/learner/default_policy/learner_stats/td_error_abs,info/learner/default_policy/learner_stats/q_taken_mean,info/learner/default_policy/learner_stats/target_mean
-746.7512248664877,-799.4567628460624,-766.236740184256,960.0,5,5,4800,0,4800,False,5,1,c29da_00000,bd1fe43ee8714059b60d965251f05d1e,2023-12-19_22-29-30,1703003370,10.674686193466187,10.674686193466187,80785,HPC005,10.33.1.26,10.674686193466187,0,1,"[-799.4567628460624, -752.7603410752214, -746.7512248664877, -770.2272945102721, -761.9880776232362]","[960, 960, 960, 960, 960]",0.20260994441799512,1.0144278360579189,0.11204373203876983,0.580781208240775,0.0,1326.984,1.507,8.009,4800,4800,2,9600,0,37.17999999999999,44.11333333333333,0.030000000000000006,0.019737413194444445,0.997866690158844,1.9762988090515137,0.89527734375,-0.0009196774164835612,-0.0369486338297526
-671.4063165361226,-799.4567628460624,-731.6353397080032,960.0,5,5,9600,0,9600,False,10,2,c29da_00000,bd1fe43ee8714059b60d965251f05d1e,2023-12-19_22-29-41,1703003381,10.848897933959961,21.523584127426147,80785,HPC005,10.33.1.26,21.523584127426147,0,2,"[-799.4567628460624, -752.7603410752214, -746.7512248664877, -770.2272945102721, -761.9880776232362, -671.4063165361226, -699.1759873863832, -682.4437327465236, -724.7321149358926, -707.4115445538305]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.2030009836346136,1.0161338642616258,0.11260208237900544,0.5836632167998326,0.0,1315.239,1.521,7.248,9600,9600,4,19200,0,37.114285714285714,46.69285714285714,0.0071428571428571435,0.019740513392857144,0.737265408039093,1.9244885444641113,0.7175181477864583,-0.04342970784505208,-0.04081731160481771
-611.6015474115453,-799.4567628460624,-705.1879123805963,960.0,5,5,14400,0,14400,False,15,3,c29da_00000,bd1fe43ee8714059b60d965251f05d1e,2023-12-19_22-29-52,1703003392,10.75654125213623,32.28012537956238,80785,HPC005,10.33.1.26,32.28012537956238,0,3,"[-799.4567628460624, -752.7603410752214, -746.7512248664877, -770.2272945102721, -761.9880776232362, -671.4063165361226, -699.1759873863832, -682.4437327465236, -724.7321149358926, -707.4115445538305, -644.499302372647, -671.9173895781265, -611.6015474115453, -686.6453444335161, -646.801704833079]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.20267129070218065,1.0175650640195726,0.11293816631086281,0.5851936571941997,0.0,1313.411,1.523,7.304,14400,14400,6,28800,14400,36.279999999999994,47.04666666666666,0.008666666666666666,0.019737413194444445,1.2658963203430176,9.062549591064453,0.9541937662760417,-0.08953731282552084,-0.03899313863118489
-535.8797591479597,-799.4567628460624,-665.3074487097373,960.0,5,5,19200,0,19200,False,20,4,c29da_00000,bd1fe43ee8714059b60d965251f05d1e,2023-12-19_22-30-03,1703003403,10.849167108535767,43.129292488098145,80785,HPC005,10.33.1.26,43.129292488098145,0,4,"[-799.4567628460624, -752.7603410752214, -746.7512248664877, -770.2272945102721, -761.9880776232362, -671.4063165361226, -699.1759873863832, -682.4437327465236, -724.7321149358926, -707.4115445538305, -644.499302372647, -671.9173895781265, -611.6015474115453, -686.6453444335161, -646.801704833079, -556.8989163149008, -540.0446563053483, -541.00754436093, -535.8797591479597, -554.4994123566611]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.20284785009942788,1.0189257895597688,0.11315126901725318,0.5866996846481048,0.0,1307.746,1.529,7.22,19200,19200,8,38400,14400,37.32857142857143,47.48571428571429,0.002142857142857143,0.019694010416666664,0.8132057189941406,2.8164432048797607,0.7785814615885417,0.036920488993326825,0.22411619059244792
-453.20220422808467,-799.4567628460624,-624.7919920379574,960.0,5,5,24000,0,24000,False,25,5,c29da_00000,bd1fe43ee8714059b60d965251f05d1e,2023-12-19_22-30-14,1703003414,10.757381916046143,53.88667440414429,80785,HPC005,10.33.1.26,53.88667440414429,0,5,"[-799.4567628460624, -752.7603410752214, -746.7512248664877, -770.2272945102721, -761.9880776232362, -671.4063165361226, -699.1759873863832, -682.4437327465236, -724.7321149358926, -707.4115445538305, -644.499302372647, -671.9173895781265, -611.6015474115453, -686.6453444335161, -646.801704833079, -556.8989163149008, -540.0446563053483, -541.00754436093, -535.8797591479597, -554.4994123566611, -453.20220422808467, -459.17663008790413, -481.999012931096, -462.8082224586137, -456.4647570484884]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.20297440570995495,1.0196883977216862,0.11324517914085817,0.587524758926781,0.0,1293.756,1.546,7.129,24000,24000,10,48000,14400,36.33571428571429,47.51428571428572,0.006428571428571429,0.019694010416666664,0.6811582446098328,1.1652170419692993,0.5650628255208333,0.18018788655598958,0.22675150553385418
-406.2424053455233,-799.4567628460624,-590.3689476755171,960.0,5,5,28800,0,28800,False,30,6,c29da_00000,bd1fe43ee8714059b60d965251f05d1e,2023-12-19_22-30-25,1703003425,10.794113159179688,64.68078756332397,80785,HPC005,10.33.1.26,64.68078756332397,0,6,"[-799.4567628460624, -752.7603410752214, -746.7512248664877, -770.2272945102721, -761.9880776232362, -671.4063165361226, -699.1759873863832, -682.4437327465236, -724.7321149358926, -707.4115445538305, -644.499302372647, -671.9173895781265, -611.6015474115453, -686.6453444335161, -646.801704833079, -556.8989163149008, -540.0446563053483, -541.00754436093, -535.8797591479597, -554.4994123566611, -453.20220422808467, -459.17663008790413, -481.999012931096, -462.8082224586137, -456.4647570484884, -428.1241966427057, -406.2424053455233, -422.858084017615, -414.8522532389417, -419.19169007179516]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.20308780469238857,1.0202354010624568,0.1133279207069257,0.5883896574024867,0.0,1287.824,1.553,9.881,28800,28800,12,57600,28800,36.22666666666667,47.54,0.010666666666666666,0.019737413194444445,0.6455737352371216,1.045005440711975,0.5127169596354166,0.2977321980794271,0.22785906982421875
-331.8106944367332,-799.4567628460624,-555.2125740001486,960.0,5,5,33600,0,33600,False,35,7,c29da_00000,bd1fe43ee8714059b60d965251f05d1e,2023-12-19_22-30-35,1703003435,10.774011373519897,75.45479893684387,80785,HPC005,10.33.1.26,75.45479893684387,0,7,"[-799.4567628460624, -752.7603410752214, -746.7512248664877, -770.2272945102721, -761.9880776232362, -671.4063165361226, -699.1759873863832, -682.4437327465236, -724.7321149358926, -707.4115445538305, -644.499302372647, -671.9173895781265, -611.6015474115453, -686.6453444335161, -646.801704833079, -556.8989163149008, -540.0446563053483, -541.00754436093, -535.8797591479597, -554.4994123566611, -453.20220422808467, -459.17663008790413, -481.999012931096, -462.8082224586137, -456.4647570484884, -428.1241966427057, -406.2424053455233, -422.858084017615, -414.8522532389417, -419.19169007179516, -339.61774210740833, -342.7017712218029, -349.8575472933601, -331.8106944367332, -357.3839046803868]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.20326435923043137,1.0207159271579873,0.11340633527184087,0.5890207842041567,0.0,1283.744,1.558,9.581,33600,33600,14,67200,28800,36.82857142857143,47.600000000000016,0.002857142857142857,0.019694010416666664,0.8469096422195435,2.8331923484802246,0.6532563069661458,0.31101619466145836,0.6115533447265625
-261.2153475837964,-799.4567628460624,-519.7048108784887,960.0,5,5,38400,0,38400,False,40,8,c29da_00000,bd1fe43ee8714059b60d965251f05d1e,2023-12-19_22-30-46,1703003446,11.054911613464355,86.50971055030823,80785,HPC005,10.33.1.26,86.50971055030823,0,8,"[-799.4567628460624, -752.7603410752214, -746.7512248664877, -770.2272945102721, -761.9880776232362, -671.4063165361226, -699.1759873863832, -682.4437327465236, -724.7321149358926, -707.4115445538305, -644.499302372647, -671.9173895781265, -611.6015474115453, -686.6453444335161, -646.801704833079, -556.8989163149008, -540.0446563053483, -541.00754436093, -535.8797591479597, -554.4994123566611, -453.20220422808467, -459.17663008790413, -481.999012931096, -462.8082224586137, -456.4647570484884, -428.1241966427057, -406.2424053455233, -422.858084017615, -414.8522532389417, -419.19169007179516, -339.61774210740833, -342.7017712218029, -349.8575472933601, -331.8106944367332, -357.3839046803868, -262.02645701222815, -284.5565925402939, -277.6073064586684, -261.2153475837964, -270.3466415393587]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.20353924106332677,1.021805050002193,0.11351070656946605,0.5896132118934116,0.0,1279.92,1.563,9.242,38400,38400,16,76800,28800,39.67857142857143,47.60000000000001,0.04071428571428571,0.019752139136904764,0.9677146673202515,3.3358850479125977,0.5815298665364583,0.6697924397786459,0.6007174886067709
-248.8804780424775,-799.4567628460624,-490.2170503470105,960.0,5,5,43200,0,43200,False,45,9,c29da_00000,bd1fe43ee8714059b60d965251f05d1e,2023-12-19_22-30-58,1703003458,11.78866457939148,98.2983751296997,80785,HPC005,10.33.1.26,98.2983751296997,0,9,"[-799.4567628460624, -752.7603410752214, -746.7512248664877, -770.2272945102721, -761.9880776232362, -671.4063165361226, -699.1759873863832, -682.4437327465236, -724.7321149358926, -707.4115445538305, -644.499302372647, -671.9173895781265, -611.6015474115453, -686.6453444335161, -646.801704833079, -556.8989163149008, -540.0446563053483, -541.00754436093, -535.8797591479597, -554.4994123566611, -453.20220422808467, -459.17663008790413, -481.999012931096, -462.8082224586137, -456.4647570484884, -428.1241966427057, -406.2424053455233, -422.858084017615, -414.8522532389417, -419.19169007179516, -339.61774210740833, -342.7017712218029, -349.8575472933601, -331.8106944367332, -357.3839046803868, -262.02645701222815, -284.5565925402939, -277.6073064586684, -261.2153475837964, -270.3466415393587, -256.4985194125827, -254.95975909918374, -248.8804780424775, -251.23044941862614, -260.00562450305404]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.2039727882486407,1.0240201416751409,0.11376368684615702,0.5908531149481826,0.0,1279.269,1.563,9.114,43200,43200,18,86400,43200,43.04375,47.68125,0.07875,0.019734700520833336,0.8997174501419067,2.121649742126465,0.5203993733723958,0.5152406412760416,0.6091903076171875
-233.0620627297769,-799.4567628460624,-464.8638039831903,960.0,5,5,48000,0,48000,False,50,10,c29da_00000,bd1fe43ee8714059b60d965251f05d1e,2023-12-19_22-31-10,1703003470,11.294272899627686,109.59264802932739,80785,HPC005,10.33.1.26,109.59264802932739,0,10,"[-799.4567628460624, -752.7603410752214, -746.7512248664877, -770.2272945102721, -761.9880776232362, -671.4063165361226, -699.1759873863832, -682.4437327465236, -724.7321149358926, -707.4115445538305, -644.499302372647, -671.9173895781265, -611.6015474115453, -686.6453444335161, -646.801704833079, -556.8989163149008, -540.0446563053483, -541.00754436093, -535.8797591479597, -554.4994123566611, -453.20220422808467, -459.17663008790413, -481.999012931096, -462.8082224586137, -456.4647570484884, -428.1241966427057, -406.2424053455233, -422.858084017615, -414.8522532389417, -419.19169007179516, -339.61774210740833, -342.7017712218029, -349.8575472933601, -331.8106944367332, -357.3839046803868, -262.02645701222815, -284.5565925402939, -277.6073064586684, -261.2153475837964, -270.3466415393587, -256.4985194125827, -254.95975909918374, -248.8804780424775, -251.23044941862614, -260.00562450305404, -238.6315750017179, -233.0620627297769, -241.6733781437527, -236.99363929409944, -233.06227837469476]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.20434688269934437,1.0262356353222055,0.1140345974183725,0.5921285318750559,0.0,1278.672,1.564,8.911,48000,48000,20,96000,43200,40.873333333333335,47.77333333333334,0.09266666666666667,0.019835069444444447,0.8082705736160278,2.0380513668060303,0.4774178466796875,0.6621532796223958,0.75834619140625
