episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-756.7964244239661,-788.0086967602124,-772.384571051654,960.0,5,5,24000,0,24000,False,5,1,b04a7_00000,60eb7cac4d384e849e328b1022ff6149,2024-02-24_13-45-44,1708760744,11.30250358581543,11.30250358581543,5540,HPC005,10.33.1.26,11.30250358581543,0,1,"[-788.0086967602124, -774.9826826494052, -758.6438004570572, -756.7964244239661, -783.4912509676293]","[960, 960, 960, 960, 960]",0.2998575335610793,1.1386277400244036,0.08525600294416825,0.5460789746970217,0.0,10015.23,2396.35,0.747,32119749.84,1299.288,18471.662,8.797,24000,24000,24000,24000,31.368750000000002,7.606249999999999,0.040625,0.027231852213541664,0.0,0.19999999999999998,0.0005,180.16226037343344,-0.0031206523641837216,180.18578084309897,2.8418997923533123e-05,0.0074707762388172205,2.18942824502786,0.01
-698.5443022979535,-788.0086967602124,-751.8932035385643,960.0,5,5,48000,0,48000,False,10,2,b04a7_00000,60eb7cac4d384e849e328b1022ff6149,2024-02-24_13-45-56,1708760756,11.556386232376099,22.85888981819153,5540,HPC005,10.33.1.26,22.85888981819153,0,2,"[-788.0086967602124, -774.9826826494052, -758.6438004570572, -756.7964244239661, -783.4912509676293, -718.4940063667423, -749.5599501521639, -718.2023671164401, -772.2085541940721, -698.5443022979535]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.3036511252379153,1.1495559584849642,0.08602318637175135,0.5489941737213779,0.0,10845.671,2212.864,0.486,49356850.208,1256.327,19103.312,7.959,48000,48000,48000,48000,32.1375,7.6875,0.04625,0.027308146158854164,0.0,0.19999999999999998,0.0005,92.04500126838684,-0.004119190271012485,92.06869498888652,1.3227264086405436e-05,0.010744350833459695,2.172287195920944,0.01
-636.4298295539572,-788.0086967602124,-722.048250541878,960.0,5,5,72000,0,72000,False,15,3,b04a7_00000,60eb7cac4d384e849e328b1022ff6149,2024-02-24_13-46-07,1708760767,11.446096420288086,34.304986238479614,5540,HPC005,10.33.1.26,34.304986238479614,0,3,"[-788.0086967602124, -774.9826826494052, -758.6438004570572, -756.7964244239661, -783.4912509676293, -718.4940063667423, -749.5599501521639, -718.2023671164401, -772.2085541940721, -698.5443022979535, -652.4846120653203, -676.2457342507029, -636.4298295539572, -672.022450832262, -674.6090960402836]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.3056546915544935,1.1542507495844363,0.08627675736856778,0.5500337865884019,0.0,11057.823,2170.409,0.4,59990045.292,1237.358,19396.172,7.705,72000,72000,72000,72000,31.839999999999996,7.700000000000001,0.06400000000000002,0.027180989583333325,0.0,0.19999999999999998,0.0005,37.04654963811239,-0.005381676310207695,37.071202635765076,-1.3520320256551107e-05,0.010784512738196347,2.1428674856821694,0.01
-615.6867830617965,-788.0086967602124,-699.1138865138505,960.0,5,5,96000,0,96000,False,20,4,b04a7_00000,60eb7cac4d384e849e328b1022ff6149,2024-02-24_13-46-19,1708760779,11.332128047943115,45.63711428642273,5540,HPC005,10.33.1.26,45.63711428642273,0,4,"[-788.0086967602124, -774.9826826494052, -758.6438004570572, -756.7964244239661, -783.4912509676293, -718.4940063667423, -749.5599501521639, -718.2023671164401, -772.2085541940721, -698.5443022979535, -652.4846120653203, -676.2457342507029, -636.4298295539572, -672.022450832262, -674.6090960402836, -621.7959902906214, -615.6867830617965, -622.5171342574846, -674.7861205436514, -616.7679439952906]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.3064611497064517,1.1559026834424597,0.08635630088688476,0.5503338918935017,0.0,11125.311,2157.243,0.358,67108864.0,1234.861,19435.387,7.895,96000,96000,96000,96000,29.83125,7.7875,0.030625000000000003,0.027180989583333332,0.0,0.19999999999999998,0.0005,17.080307761828106,-0.004181366491441925,17.103537499904633,-2.3233393828074136e-06,0.01052959695638949,2.115424265464147,0.01
-528.6927218574336,-788.0086967602124,-672.1200953666408,960.0,5,5,120000,0,120000,False,25,5,b04a7_00000,60eb7cac4d384e849e328b1022ff6149,2024-02-24_13-46-30,1708760790,11.232954502105713,56.87006878852844,5540,HPC005,10.33.1.26,56.87006878852844,0,5,"[-788.0086967602124, -774.9826826494052, -758.6438004570572, -756.7964244239661, -783.4912509676293, -718.4940063667423, -749.5599501521639, -718.2023671164401, -772.2085541940721, -698.5443022979535, -652.4846120653203, -676.2457342507029, -636.4298295539572, -672.022450832262, -674.6090960402836, -621.7959902906214, -615.6867830617965, -622.5171342574846, -674.7861205436514, -616.7679439952906, -558.016238276119, -572.5682412564712, -528.6927218574336, -590.5611602750729, -570.886292223914]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.30690054629524827,1.1560855739683804,0.08638278983058122,0.5503058442211574,0.0,11159.317,2150.669,0.338,70979619.236,1226.115,19574.027,7.845,120000,120000,120000,120000,28.973333333333336,7.733333333333333,0.004666666666666667,0.027180989583333325,0.0,0.19999999999999998,0.0005,7.374619295199712,-0.004581934054537366,7.397739340861638,-0.0001326302687327067,0.010088535690205503,2.055588627854983,0.01
-430.4076715712958,-788.0086967602124,-640.2172812678997,960.0,5,5,144000,0,144000,False,30,6,b04a7_00000,60eb7cac4d384e849e328b1022ff6149,2024-02-24_13-46-41,1708760801,11.460012674331665,68.33008146286011,5540,HPC005,10.33.1.26,68.33008146286011,0,6,"[-788.0086967602124, -774.9826826494052, -758.6438004570572, -756.7964244239661, -783.4912509676293, -718.4940063667423, -749.5599501521639, -718.2023671164401, -772.2085541940721, -698.5443022979535, -652.4846120653203, -676.2457342507029, -636.4298295539572, -672.022450832262, -674.6090960402836, -621.7959902906214, -615.6867830617965, -622.5171342574846, -674.7861205436514, -616.7679439952906, -558.016238276119, -572.5682412564712, -528.6927218574336, -590.5611602750729, -570.886292223914, -513.8488272563127, -490.4978261345577, -482.4815124523499, -486.28021645645606, -430.4076715712958]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.30724587482207405,1.1566356526958108,0.08639609344544066,0.5503241765656743,0.0,11208.004,2141.327,0.321,74861152.206,1224.943,19592.747,8.138,144000,144000,144000,144000,29.84375,7.8,0.025,0.027180989583333332,0.0,0.19999999999999998,0.0005,5.887214422225952,-0.007007263445605834,5.910505468646686,-0.00010128567616144817,0.015859942763148387,1.9455795884132385,0.01
-374.176292720677,-788.0086967602124,-607.1478477570839,960.0,5,5,168000,0,168000,False,35,7,b04a7_00000,60eb7cac4d384e849e328b1022ff6149,2024-02-24_13-46-53,1708760813,11.396790742874146,79.72687220573425,5540,HPC005,10.33.1.26,79.72687220573425,0,7,"[-788.0086967602124, -774.9826826494052, -758.6438004570572, -756.7964244239661, -783.4912509676293, -718.4940063667423, -749.5599501521639, -718.2023671164401, -772.2085541940721, -698.5443022979535, -652.4846120653203, -676.2457342507029, -636.4298295539572, -672.022450832262, -674.6090960402836, -621.7959902906214, -615.6867830617965, -622.5171342574846, -674.7861205436514, -616.7679439952906, -558.016238276119, -572.5682412564712, -528.6927218574336, -590.5611602750729, -570.886292223914, -513.8488272563127, -490.4978261345577, -482.4815124523499, -486.28021645645606, -430.4076715712958, -403.8624216249367, -374.176292720677, -428.25978013775074, -401.29369572383075, -436.06404325374746]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.3075941028437234,1.1569196445018044,0.08640106523702892,0.5504870130966576,0.0,11242.055,2134.841,0.345,69539432.744,1221.169,19653.296,8.09,168000,168000,168000,168000,29.860000000000003,7.799999999999999,0.025333333333333336,0.027180989583333325,0.0,0.19999999999999998,0.0005,6.255127752820651,-0.005246696683267753,6.276789888739586,-2.3936231931050617e-05,0.012129262834760712,1.8841291094819705,0.01
-304.64667473342456,-788.0086967602124,-572.4558836561689,960.0,5,5,192000,0,192000,False,40,8,b04a7_00000,60eb7cac4d384e849e328b1022ff6149,2024-02-24_13-47-04,1708760824,11.44247055053711,91.16934275627136,5540,HPC005,10.33.1.26,91.16934275627136,0,8,"[-788.0086967602124, -774.9826826494052, -758.6438004570572, -756.7964244239661, -783.4912509676293, -718.4940063667423, -749.5599501521639, -718.2023671164401, -772.2085541940721, -698.5443022979535, -652.4846120653203, -676.2457342507029, -636.4298295539572, -672.022450832262, -674.6090960402836, -621.7959902906214, -615.6867830617965, -622.5171342574846, -674.7861205436514, -616.7679439952906, -558.016238276119, -572.5682412564712, -528.6927218574336, -590.5611602750729, -570.886292223914, -513.8488272563127, -490.4978261345577, -482.4815124523499, -486.28021645645606, -430.4076715712958, -403.8624216249367, -374.176292720677, -428.25978013775074, -401.29369572383075, -436.06404325374746, -355.542237283424, -322.3150040542917, -345.61556540854224, -304.64667473342456, -319.94119326913676]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.30794571695855283,1.1571601119102286,0.08640497894494256,0.5507099155499771,0.0,11269.25,2129.689,0.34,70511020.751,1219.835,19674.785,7.996,192000,192000,192000,192000,29.962500000000002,7.83125,0.026250000000000002,0.027180989583333332,0.0,0.19999999999999998,0.0005,6.931073581178983,-0.004704555147327483,6.9517420927683515,-9.047736724217732e-05,0.009336127329936392,1.783121886352698,0.01
-251.41975306073525,-788.0086967602124,-539.8405423849985,960.0,5,5,216000,0,216000,False,45,9,b04a7_00000,60eb7cac4d384e849e328b1022ff6149,2024-02-24_13-47-16,1708760836,11.381566762924194,102.55090951919556,5540,HPC005,10.33.1.26,102.55090951919556,0,9,"[-788.0086967602124, -774.9826826494052, -758.6438004570572, -756.7964244239661, -783.4912509676293, -718.4940063667423, -749.5599501521639, -718.2023671164401, -772.2085541940721, -698.5443022979535, -652.4846120653203, -676.2457342507029, -636.4298295539572, -672.022450832262, -674.6090960402836, -621.7959902906214, -615.6867830617965, -622.5171342574846, -674.7861205436514, -616.7679439952906, -558.016238276119, -572.5682412564712, -528.6927218574336, -590.5611602750729, -570.886292223914, -513.8488272563127, -490.4978261345577, -482.4815124523499, -486.28021645645606, -430.4076715712958, -403.8624216249367, -374.176292720677, -428.25978013775074, -401.29369572383075, -436.06404325374746, -355.542237283424, -322.3150040542917, -345.61556540854224, -304.64667473342456, -319.94119326913676, -296.7545608193489, -260.88009058674766, -290.0462445413205, -251.41975306073525, -295.4884120700206]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.30820842552255184,1.1573352195558775,0.08640706119194425,0.5508574882445438,0.0,11282.813,2127.129,0.33,72803733.848,1219.502,19680.171,8.744,216000,216000,216000,216000,29.85,7.84375,0.0175,0.027180989583333332,0.0,0.19999999999999998,0.0005,5.443294554948807,-0.005032052751630545,5.463193754355113,-0.00037073343992233276,0.00942671522274179,1.6752443040410678,0.01
-209.6533887716985,-788.0086967602124,-509.05786317358684,960.0,5,5,240000,0,240000,False,50,10,b04a7_00000,60eb7cac4d384e849e328b1022ff6149,2024-02-24_13-47-27,1708760847,11.218876838684082,113.76978635787964,5540,HPC005,10.33.1.26,113.76978635787964,0,10,"[-788.0086967602124, -774.9826826494052, -758.6438004570572, -756.7964244239661, -783.4912509676293, -718.4940063667423, -749.5599501521639, -718.2023671164401, -772.2085541940721, -698.5443022979535, -652.4846120653203, -676.2457342507029, -636.4298295539572, -672.022450832262, -674.6090960402836, -621.7959902906214, -615.6867830617965, -622.5171342574846, -674.7861205436514, -616.7679439952906, -558.016238276119, -572.5682412564712, -528.6927218574336, -590.5611602750729, -570.886292223914, -513.8488272563127, -490.4978261345577, -482.4815124523499, -486.28021645645606, -430.4076715712958, -403.8624216249367, -374.176292720677, -428.25978013775074, -401.29369572383075, -436.06404325374746, -355.542237283424, -322.3150040542917, -345.61556540854224, -304.64667473342456, -319.94119326913676, -296.7545608193489, -260.88009058674766, -290.0462445413205, -251.41975306073525, -295.4884120700206, -223.74617712554937, -244.97789267069712, -232.5300936333895, -249.16119915307837, -209.6533887716985]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.30837647894161646,1.1573098024946697,0.08639610141595502,0.5508687349141426,0.0,11281.197,2127.434,0.319,75234152.466,1218.021,19704.09,8.645,240000,240000,240000,240000,29.459999999999997,7.866666666666668,0.014000000000000002,0.027180989583333325,0.0,0.19999999999999998,0.0005,3.9899318665266037,-0.0031987090994031555,4.0076155960559845,0.00048335765798886615,0.00687737509560652,1.5860528697570164,0.01
